0,genre,score,popul,review
historical,historical,7.856153846153841,16996.159090909092,5204.884615384615
comedy,comedy,7.750323974082074,4390.841437632135,10955.306695464364
romance,romance,7.6457175925926055,8729.379545454545,8184.52662037037
drama,drama,7.676526946107795,9830.141860465117,6454.4946107784435
life,life,7.9165605095541345,6913.93125,8479.878980891719
food,food,7.485185185185184,2258.703703703704,5382.7037037037035
family,family,7.414705882352937,19641.88292682927,1512.1078431372548
fantasy,fantasy,7.899999999999999,3087.5208333333335,12368.329670329671
thriller,thriller,8.038219895287954,2473.575,8445.71727748691
mystery,mystery,7.945491803278689,2515.9606299212596,6774.561475409836
military,military,7.9615384615384635,17510.0,10722.538461538461
political,political,7.9,9171.177419354839,4922.467741935484
sci-fi,sci-fi,8.01,3944.181818181818,14248.866666666667
action,action,7.957480314960627,4716.315789473684,9078.55905511811
horror,horror,8.007692307692308,1144.962962962963,14883.0
supernatural,supernatural,7.7783132530120485,1389.1785714285713,11850.843373493975
psychological,psychological,8.091304347826087,1252.75,13924.260869565218
medical,medical,7.8482142857142865,3824.7678571428573,6230.178571428572
melodrama,melodrama,7.589818181818181,8148.10071942446,4823.272727272727
youth,youth,7.921311475409836,4058.8,15495.0
crime,crime,8.159090909090908,1469.872340425532,10031.181818181818
business,business,7.6380434782608715,3224.7741935483873,7608.445652173913
law,law,7.99491525423729,3400.8709677419356,7438.610169491525
friendship,friendship,7.776470588235293,7320.8421052631575,10560.0
school,school,7.6937500000000005,7799.058823529412,6908.6875
music,music,7.5909090909090935,1526.111111111111,9060.977272727272
sports,sports,7.685714285714286,11320.363636363636,12305.380952380952
adventure,adventure,7.771428571428571,2452.25,2727.8571428571427
war,war,7.8,4217.25,782.75
tokusatsu,tokusatsu,6.5,99999.0,2.0
sitcom,sitcom,7.760000000000001,17758.066666666666,1372.8666666666666
martial arts,martial arts,7.65,724.0,6012.0
mature,mature,7.45,3159.5,14286.5
